date,F
23/01/2019,17.84
24/01/2019,17.83
25/01/2019,17.81
26/01/2019,17.82
27/01/2019,17.85
28/01/2019,17.89
29/01/2019,17.93
30/01/2019,17.96
31/01/2019,17.99
01/02/2019,18.01
02/02/2019,18.01
03/02/2019,17.99
04/02/2019,18.00
05/02/2019,18.01
06/02/2019,18.00
07/02/2019,18.00
08/02/2019,17.98
09/02/2019,17.98
10/02/2019,17.98
11/02/2019,17.96
12/02/2019,17.95
13/02/2019,17.95
14/02/2019,17.94
15/02/2019,17.93
16/02/2019,17.92
17/02/2019,17.91
18/02/2019,17.91
19/02/2019,17.90
20/02/2019,17.89
21/02/2019,17.89
22/02/2019,17.87
23/02/2019,17.87
24/02/2019,17.86
25/02/2019,17.85
26/02/2019,17.85
27/02/2019,17.84
28/02/2019,17.83
01/03/2019,17.83
02/03/2019,17.83
03/03/2019,17.83
04/03/2019,17.83
05/03/2019,17.82
06/03/2019,17.86
07/03/2019,17.88
08/03/2019,17.91
09/03/2019,17.90
10/03/2019,17.89
11/03/2019,17.88
12/03/2019,17.87
13/03/2019,17.87
14/03/2019,17.86
15/03/2019,17.85
16/03/2019,17.85
17/03/2019,17.84
18/03/2019,17.82
19/03/2019,17.85
20/03/2019,17.83
21/03/2019,17.82
22/03/2019,17.80
23/03/2019,17.80
24/03/2019,17.79
25/03/2019,17.78
26/03/2019,17.77
27/03/2019,17.76
28/03/2019,17.74
29/03/2019,17.74
30/03/2019,17.73
31/03/2019,17.72
01/04/2019,17.72
02/04/2019,17.71
03/04/2019,17.75
04/04/2019,17.77
05/04/2019,17.76
06/04/2019,17.84
07/04/2019,17.83
08/04/2019,17.81
09/04/2019,17.80
10/04/2019,17.79
11/04/2019,17.77
12/04/2019,17.75
13/04/2019,17.74
14/04/2019,17.72
15/04/2019,17.78
16/04/2019,17.79
17/04/2019,17.77
18/04/2019,17.76
19/04/2019,17.75
20/04/2019,17.72
21/04/2019,17.71
22/04/2019,17.72
23/04/2019,17.77
24/04/2019,17.83
25/04/2019,17.85
26/04/2019,17.86
27/04/2019,17.88
28/04/2019,17.86
29/04/2019,17.85
30/04/2019,17.83
01/05/2019,17.82
02/05/2019,17.80
03/05/2019,17.79
04/05/2019,17.78
05/05/2019,17.76
06/05/2019,17.74
07/05/2019,17.73
08/05/2019,17.78
09/05/2019,17.77
10/05/2019,17.76
11/05/2019,17.74
12/05/2019,17.71
13/05/2019,17.70
14/05/2019,17.68
15/05/2019,17.67
16/05/2019,17.66
17/05/2019,17.65
18/05/2019,17.68
19/05/2019,17.66
20/05/2019,17.64
21/05/2019,17.63
22/05/2019,17.62
23/05/2019,17.61
24/05/2019,17.60
25/05/2019,17.59
26/05/2019,17.58
27/05/2019,17.58
28/05/2019,17.57
29/05/2019,17.56
30/05/2019,17.55
31/05/2019,17.54
01/06/2019,17.53
02/06/2019,17.52
03/06/2019,17.51
04/06/2019,17.51
05/06/2019,17.58
06/06/2019,17.58
07/06/2019,17.60
08/06/2019,17.59
09/06/2019,17.57
10/06/2019,17.55
11/06/2019,17.57
12/06/2019,17.67
13/06/2019,17.66
14/06/2019,17.71
15/06/2019,17.69
16/06/2019,17.66
17/06/2019,17.64
18/06/2019,17.62
19/06/2019,17.59
20/06/2019,17.57
21/06/2019,17.55
22/06/2019,17.54
23/06/2019,17.52
24/06/2019,17.51
25/06/2019,17.49
26/06/2019,17.48
27/06/2019,17.46
28/06/2019,17.44
29/06/2019,17.44
30/06/2019,17.43
01/07/2019,17.42
02/07/2019,17.41
03/07/2019,17.41
04/07/2019,17.39
05/07/2019,17.38
06/07/2019,17.36
07/07/2019,17.35
08/07/2019,17.34
09/07/2019,17.32
10/07/2019,17.30
11/07/2019,17.29
12/07/2019,17.27
13/07/2019,17.26
14/07/2019,17.24
15/07/2019,17.23
16/07/2019,17.21
17/07/2019,17.20
18/07/2019,17.19
19/07/2019,17.18
20/07/2019,17.17
21/07/2019,17.15
22/07/2019,17.14
23/07/2019,17.13
24/07/2019,17.12
25/07/2019,17.11
26/07/2019,17.17
27/07/2019,17.19
28/07/2019,17.19
29/07/2019,17.17
30/07/2019,17.15
31/07/2019,17.14
01/08/2019,17.13
02/08/2019,17.12
03/08/2019,17.11
04/08/2019,17.09
05/08/2019,17.08
06/08/2019,17.07
07/08/2019,17.10
08/08/2019,17.09
09/08/2019,17.08
10/08/2019,17.07
11/08/2019,17.08
12/08/2019,17.08
13/08/2019,17.07
14/08/2019,17.06
15/08/2019,17.05
16/08/2019,17.05
17/08/2019,17.04
18/08/2019,17.04
19/08/2019,17.03
20/08/2019,17.02
21/08/2019,17.02
22/08/2019,17.01
23/08/2019,17.00
24/08/2019,17.00
25/08/2019,16.99
26/08/2019,16.98
27/08/2019,16.98
28/08/2019,16.97
29/08/2019,16.96
30/08/2019,16.96
31/08/2019,16.95
01/09/2019,16.95
02/09/2019,16.94
03/09/2019,16.93
04/09/2019,16.93
05/09/2019,16.92
06/09/2019,16.92
07/09/2019,16.91
08/09/2019,16.91
09/09/2019,16.91
10/09/2019,16.91
11/09/2019,16.90
12/09/2019,16.89
13/09/2019,16.89
14/09/2019,16.88
15/09/2019,16.88
16/09/2019,16.88
17/09/2019,16.87
18/09/2019,16.87
19/09/2019,16.86
20/09/2019,16.86
21/09/2019,16.85
22/09/2019,16.85
23/09/2019,16.84
24/09/2019,16.85
25/09/2019,16.85
26/09/2019,16.85
27/09/2019,16.85
28/09/2019,16.85
29/09/2019,16.85
30/09/2019,16.84
01/10/2019,16.84
02/10/2019,16.84
03/10/2019,16.84
04/10/2019,16.84
05/10/2019,16.84
06/10/2019,16.83
07/10/2019,16.83
08/10/2019,16.83
09/10/2019,16.83
10/10/2019,16.83
11/10/2019,16.82
12/10/2019,16.82
13/10/2019,16.82
14/10/2019,16.82
15/10/2019,16.85
16/10/2019,16.86
17/10/2019,16.89
18/10/2019,16.90
19/10/2019,16.92
20/10/2019,17.04
21/10/2019,17.07
22/10/2019,17.10
23/10/2019,17.15
24/10/2019,17.20
25/10/2019,17.23
26/10/2019,17.24
27/10/2019,17.24
28/10/2019,17.27
29/10/2019,17.27
30/10/2019,17.28
31/10/2019,17.28
01/11/2019,17.34
02/11/2019,17.44
03/11/2019,17.55
04/11/2019,17.59
05/11/2019,17.65
06/11/2019,17.70
07/11/2019,17.77
08/11/2019,17.79
09/11/2019,17.80
10/11/2019,17.84
11/11/2019,17.88
12/11/2019,17.89
13/11/2019,17.90
14/11/2019,17.95
15/11/2019,17.94
16/11/2019,18.05
17/11/2019,18.05
18/11/2019,18.03
19/11/2019,18.01
20/11/2019,18.01
21/11/2019,18.05
22/11/2019,18.05
23/11/2019,18.09
24/11/2019,18.08
25/11/2019,18.09
26/11/2019,18.11
27/11/2019,18.12
28/11/2019,18.13
29/11/2019,18.12
30/11/2019,18.15
01/12/2019,18.16
02/12/2019,18.15
03/12/2019,18.13
04/12/2019,18.12
05/12/2019,18.10
06/12/2019,18.09
07/12/2019,18.08
08/12/2019,18.11
09/12/2019,18.11
10/12/2019,18.09
11/12/2019,18.12
12/12/2019,18.18
13/12/2019,18.18
14/12/2019,18.19
15/12/2019,18.19
16/12/2019,18.17
17/12/2019,18.15
18/12/2019,18.14
19/12/2019,18.13
20/12/2019,18.14
21/12/2019,18.14
22/12/2019,18.14
23/12/2019,18.14
24/12/2019,18.14
25/12/2019,18.12
26/12/2019,18.11
27/12/2019,18.10
28/12/2019,18.09
29/12/2019,18.08
30/12/2019,18.07
31/12/2019,18.06
01/01/2020,18.06
02/01/2020,18.06
03/01/2020,18.05
04/01/2020,18.04
05/01/2020,18.03
06/01/2020,18.03
07/01/2020,18.03
08/01/2020,18.03
09/01/2020,18.02
10/01/2020,18.04
11/01/2020,18.02
12/01/2020,18.02
13/01/2020,18.01
14/01/2020,18.01
15/01/2020,18.00
16/01/2020,17.99
17/01/2020,18.01
18/01/2020,18.01
19/01/2020,18.00
20/01/2020,17.98
21/01/2020,17.97
22/01/2020,17.97
23/01/2020,17.97
24/01/2020,17.96
25/01/2020,17.96
26/01/2020,17.95
27/01/2020,18.03
28/01/2020,18.03
29/01/2020,18.01
30/01/2020,18.07
31/01/2020,18.06
01/02/2020,18.07
02/02/2020,18.07
03/02/2020,18.06
04/02/2020,18.05
05/02/2020,18.03
06/02/2020,18.02
07/02/2020,18.01
08/02/2020,18.01
09/02/2020,18.00
10/02/2020,18.00
11/02/2020,17.99
12/02/2020,17.98
13/02/2020,17.98
14/02/2020,17.97
15/02/2020,17.96
16/02/2020,17.96
17/02/2020,17.96
18/02/2020,17.95
19/02/2020,17.95
20/02/2020,17.94
21/02/2020,17.93
22/02/2020,17.92
23/02/2020,17.91
24/02/2020,17.91
25/02/2020,17.92
26/02/2020,17.93
27/02/2020,18.03
28/02/2020,18.02
29/02/2020,18.02
01/03/2020,18.04
02/03/2020,18.06
03/03/2020,18.09
04/03/2020,18.10
05/03/2020,18.11
06/03/2020,18.13
07/03/2020,18.11
08/03/2020,18.10
09/03/2020,18.09
10/03/2020,18.09
11/03/2020,18.08
12/03/2020,18.08
13/03/2020,18.07
14/03/2020,18.06
15/03/2020,18.05
16/03/2020,18.07
17/03/2020,18.06
18/03/2020,18.05
19/03/2020,18.04
20/03/2020,18.03
21/03/2020,18.02
22/03/2020,18.01
23/03/2020,17.99
24/03/2020,17.98
25/03/2020,17.97
26/03/2020,17.96
27/03/2020,17.95
28/03/2020,17.94
29/03/2020,17.92
30/03/2020,17.96
31/03/2020,17.96
01/04/2020,17.94
02/04/2020,17.92
03/04/2020,17.90
04/04/2020,17.89
05/04/2020,17.88
06/04/2020,17.89
07/04/2020,17.90
08/04/2020,17.88
09/04/2020,17.87
10/04/2020,17.85
11/04/2020,17.84
12/04/2020,17.83
13/04/2020,17.86
14/04/2020,17.83
15/04/2020,17.81
16/04/2020,17.80
17/04/2020,17.80
18/04/2020,17.78
19/04/2020,17.82
20/04/2020,17.82
21/04/2020,17.80
22/04/2020,17.80
23/04/2020,17.78
24/04/2020,17.77
25/04/2020,17.75
26/04/2020,17.74
27/04/2020,17.81
28/04/2020,17.80
29/04/2020,17.82
30/04/2020,17.89
01/05/2020,17.96
02/05/2020,17.97
03/05/2020,17.97
04/05/2020,17.95
05/05/2020,17.94
06/05/2020,17.92
07/05/2020,17.90
08/05/2020,17.89
09/05/2020,17.92
10/05/2020,18.07
11/05/2020,18.15
12/05/2020,18.18
13/05/2020,18.18
14/05/2020,18.17
15/05/2020,18.14
16/05/2020,18.12
17/05/2020,18.10
18/05/2020,18.08
19/05/2020,18.06
20/05/2020,18.05
21/05/2020,18.03
22/05/2020,18.01
23/05/2020,17.99
24/05/2020,17.98
25/05/2020,17.96
26/05/2020,17.93
27/05/2020,17.91
28/05/2020,17.88
29/05/2020,17.86
30/05/2020,17.84
31/05/2020,17.82
01/06/2020,17.79
02/06/2020,17.77
03/06/2020,17.76
04/06/2020,17.76
05/06/2020,17.73
06/06/2020,17.72
07/06/2020,17.71
08/06/2020,17.72
09/06/2020,17.70
10/06/2020,17.68
11/06/2020,17.82
12/06/2020,17.82
13/06/2020,17.84
14/06/2020,17.82
15/06/2020,17.78
16/06/2020,17.77
17/06/2020,17.83
18/06/2020,17.82
19/06/2020,17.79
20/06/2020,17.76
21/06/2020,17.73
22/06/2020,17.70
23/06/2020,17.68
24/06/2020,17.66
25/06/2020,17.64
26/06/2020,17.63
27/06/2020,17.61
28/06/2020,17.59
29/06/2020,17.58
30/06/2020,17.57
01/07/2020,17.55
02/07/2020,17.54
03/07/2020,17.52
04/07/2020,17.51
05/07/2020,17.50
06/07/2020,17.49
07/07/2020,17.47
08/07/2020,17.46
09/07/2020,17.44
10/07/2020,17.42
11/07/2020,17.41
12/07/2020,17.39
13/07/2020,17.38
14/07/2020,17.36
15/07/2020,17.35
16/07/2020,17.33
17/07/2020,17.32
18/07/2020,17.31
19/07/2020,17.29
20/07/2020,17.28
21/07/2020,17.26
22/07/2020,17.25
23/07/2020,17.24
24/07/2020,17.22
25/07/2020,17.21
26/07/2020,17.20
27/07/2020,17.19
28/07/2020,17.18
29/07/2020,17.17
30/07/2020,17.16
31/07/2020,17.14
01/08/2020,17.13
02/08/2020,17.12
03/08/2020,17.11
04/08/2020,17.10
05/08/2020,17.09
06/08/2020,17.08
07/08/2020,17.07
08/08/2020,17.06
09/08/2020,17.05
10/08/2020,17.05
11/08/2020,17.04
12/08/2020,17.16
13/08/2020,17.25
14/08/2020,17.25
15/08/2020,17.26
16/08/2020,17.27
17/08/2020,17.27
18/08/2020,17.33
19/08/2020,17.33
20/08/2020,17.32
21/08/2020,17.31
22/08/2020,17.29
23/08/2020,17.28
24/08/2020,17.27
25/08/2020,17.27
26/08/2020,17.25
27/08/2020,17.24
28/08/2020,17.24
29/08/2020,17.25
30/08/2020,17.24
31/08/2020,17.22
01/09/2020,17.21
02/09/2020,17.20
03/09/2020,17.19
04/09/2020,17.18
05/09/2020,17.17
06/09/2020,17.16
07/09/2020,17.15
08/09/2020,17.14
09/09/2020,17.13
10/09/2020,17.12
11/09/2020,17.12
12/09/2020,17.11
13/09/2020,17.10
14/09/2020,17.09
15/09/2020,17.08
16/09/2020,17.07
17/09/2020,17.07
18/09/2020,17.06
19/09/2020,17.06
20/09/2020,17.05
21/09/2020,17.04
22/09/2020,17.04
23/09/2020,17.04
24/09/2020,17.04
25/09/2020,17.08
26/09/2020,17.12
27/09/2020,17.13
28/09/2020,17.12
29/09/2020,17.12
30/09/2020,17.12
01/10/2020,17.14
02/10/2020,17.20
03/10/2020,17.28
04/10/2020,17.35
05/10/2020,17.37
06/10/2020,17.43
07/10/2020,17.43
08/10/2020,17.43
09/10/2020,17.43
10/10/2020,17.43
11/10/2020,17.42
12/10/2020,17.42
13/10/2020,17.43
14/10/2020,17.45
15/10/2020,17.45
16/10/2020,17.44
17/10/2020,17.43
18/10/2020,17.42
19/10/2020,17.42
20/10/2020,17.42
21/10/2020,17.43
22/10/2020,17.42
23/10/2020,17.41
24/10/2020,17.41
25/10/2020,17.47
26/10/2020,17.49
27/10/2020,17.55
28/10/2020,17.56
29/10/2020,17.56
30/10/2020,17.55
31/10/2020,17.55
01/11/2020,17.54
02/11/2020,17.54
03/11/2020,17.53
04/11/2020,17.52
05/11/2020,17.51
06/11/2020,17.50
07/11/2020,17.50
08/11/2020,17.49
09/11/2020,17.48
10/11/2020,17.47
11/11/2020,17.47
12/11/2020,17.46
13/11/2020,17.45
14/11/2020,17.45
15/11/2020,17.50
16/11/2020,17.50
17/11/2020,17.50
18/11/2020,17.50
19/11/2020,17.48
20/11/2020,17.47
21/11/2020,17.46
22/11/2020,17.46
23/11/2020,17.45
24/11/2020,17.45
25/11/2020,17.45
26/11/2020,17.43
27/11/2020,17.43
28/11/2020,17.43
29/11/2020,17.42
30/11/2020,17.41
01/12/2020,17.41
02/12/2020,17.40
03/12/2020,17.57
04/12/2020,17.62
05/12/2020,17.68
06/12/2020,17.70
07/12/2020,17.76
08/12/2020,17.76
09/12/2020,17.77
10/12/2020,17.85
11/12/2020,17.90
12/12/2020,17.90
13/12/2020,17.90
14/12/2020,17.93
15/12/2020,17.94
16/12/2020,17.93
17/12/2020,17.93
18/12/2020,17.92
19/12/2020,17.92
20/12/2020,17.95
21/12/2020,17.96
22/12/2020,17.96
23/12/2020,17.95
24/12/2020,17.95
25/12/2020,17.94
26/12/2020,17.93
27/12/2020,18.02
28/12/2020,18.03
29/12/2020,18.05
30/12/2020,18.08
31/12/2020,18.12
01/01/2021,18.13
02/01/2021,18.13
03/01/2021,18.13
04/01/2021,18.13
05/01/2021,18.12
06/01/2021,18.10
07/01/2021,18.09
08/01/2021,18.08
09/01/2021,18.07
10/01/2021,18.06
11/01/2021,18.05
12/01/2021,18.04
13/01/2021,18.04
14/01/2021,18.05
15/01/2021,18.04
16/01/2021,18.03
17/01/2021,18.04
18/01/2021,18.03
19/01/2021,18.02
20/01/2021,18.02
21/01/2021,18.04
22/01/2021,18.05
23/01/2021,18.07
24/01/2021,18.06
25/01/2021,18.06
26/01/2021,18.05
27/01/2021,18.07
28/01/2021,18.07
29/01/2021,18.07
30/01/2021,18.10
31/01/2021,18.13
01/02/2021,18.14
02/02/2021,18.15
03/02/2021,18.16
04/02/2021,18.15
05/02/2021,18.16
06/02/2021,18.18
07/02/2021,18.18
08/02/2021,18.20
09/02/2021,18.20
10/02/2021,18.20
11/02/2021,18.18
12/02/2021,18.21
13/02/2021,18.20
14/02/2021,18.17
15/02/2021,18.16
16/02/2021,18.15
17/02/2021,18.13
18/02/2021,18.13
19/02/2021,18.12
20/02/2021,18.11
21/02/2021,18.10
22/02/2021,18.09
23/02/2021,18.07
24/02/2021,18.07
25/02/2021,18.06
26/02/2021,18.05
27/02/2021,18.04
28/02/2021,18.03
01/03/2021,18.02
02/03/2021,18.01
03/03/2021,18.00
04/03/2021,17.99
05/03/2021,17.98
06/03/2021,17.97
07/03/2021,17.96
08/03/2021,17.96
09/03/2021,17.95
10/03/2021,17.94
11/03/2021,17.96
12/03/2021,17.96
13/03/2021,18.00
14/03/2021,18.01
15/03/2021,18.00
16/03/2021,17.98
17/03/2021,17.97
18/03/2021,17.96
19/03/2021,17.95
20/03/2021,17.93
21/03/2021,17.92
22/03/2021,17.91
23/03/2021,17.90
24/03/2021,17.89
25/03/2021,17.88
