Date	P	ETP_hargreave
2006-01-01	0.00	1.09
2006-01-02	0.00	0.27
2006-01-03	0.00	0.38
2006-01-04	0.00	0.41
2006-01-05	0.17	0.22
2006-01-06	0.00	0.29
2006-01-07	1.35	0.21
2006-01-08	0.00	0.34
2006-01-09	0.00	0.23
2006-01-10	0.00	0.76
2006-01-11	0.00	0.48
2006-01-12	1.32	0.46
2006-01-13	0.00	0.66
2006-01-14	0.00	0.87
2006-01-15	1.03	0.22
2006-01-16	0.00	0.58
2006-01-17	0.00	0.41
2006-01-18	0.00	0.39
2006-01-19	0.00	0.48
2006-01-20	0.00	0.42
2006-01-21	0.00	0.34
2006-01-22	0.00	0.40
2006-01-23	0.00	0.34
2006-01-24	0.00	0.40
2006-01-25	0.00	0.30
2006-01-26	0.71	0.23
2006-01-27	0.00	0.49
2006-01-28	0.00	0.73
2006-01-29	0.10	1.40
2006-01-30	0.02	1.12
2006-01-31	0.00	1.82
2006-02-01	0.12	0.71
2006-02-02	0.00	0.54
2006-02-03	3.08	0.32
2006-02-04	0.00	1.90
2006-02-05	2.26	0.52
2006-02-06	1.01	0.69
2006-02-07	0.00	1.05
2006-02-08	0.00	0.84
2006-02-09	0.00	1.49
2006-02-10	0.00	1.32
2006-02-11	0.00	1.18
2006-02-12	0.00	0.95
2006-02-13	0.00	1.32
2006-02-14	0.00	0.92
2006-02-15	0.00	1.21
2006-02-16	0.00	1.91
2006-02-17	0.00	1.44
2006-02-18	0.00	1.25
2006-02-19	0.00	1.18
2006-02-20	0.00	1.49
2006-02-21	0.00	1.61
2006-02-22	8.72	0.83
2006-02-23	1.11	1.44
2006-02-24	0.00	1.17
2006-02-25	0.00	1.79
2006-02-26	0.00	1.24
2006-02-27	0.00	1.81
2006-02-28	0.00	1.52
2006-03-01	0.00	1.63
2006-03-02	0.00	1.96
2006-03-03	0.00	1.42
2006-03-04	0.00	1.36
2006-03-05	0.00	1.81
2006-03-06	0.00	1.47
2006-03-07	0.00	1.24
2006-03-08	0.00	1.71
2006-03-09	0.10	2.19
2006-03-10	1.50	1.67
2006-03-11	2.10	1.61
2006-03-12	10.18	1.75
2006-03-13	14.80	1.32
2006-03-14	9.12	1.24
2006-03-15	2.44	1.84
2006-03-16	6.96	1.57
2006-03-17	7.38	1.97
2006-03-18	0.00	3.21
2006-03-19	1.15	1.05
2006-03-20	7.97	2.02
2006-03-21	14.10	0.95
2006-03-22	2.76	1.29
2006-03-23	0.00	1.67
2006-03-24	0.36	2.90
2006-03-25	3.80	1.73
2006-03-26	1.12	1.72
2006-03-27	1.88	1.52
2006-03-28	2.38	1.47
2006-03-29	1.59	1.30
2006-03-30	4.67	1.76
2006-03-31	0.00	1.98
2006-04-01	0.00	2.50
2006-04-02	0.00	3.22
2006-04-03	0.00	3.58
2006-04-04	2.49	1.61
2006-04-05	2.92	1.85
2006-04-06	0.90	1.35
2006-04-07	0.00	1.21
2006-04-08	0.00	1.61
2006-04-09	0.00	2.00
2006-04-10	5.89	1.48
2006-04-11	4.77	1.73
2006-04-12	7.95	1.53
2006-04-13	3.15	1.84
2006-04-14	2.95	1.69
2006-04-15	12.11	2.28
2006-04-16	1.45	2.72
2006-04-17	6.45	1.68
2006-04-18	9.64	1.41
2006-04-19	4.80	1.68
2006-04-20	0.12	2.29
2006-04-21	3.56	2.51
2006-04-22	0.00	2.74
2006-04-23	0.00	2.94
2006-04-24	0.00	1.99
2006-04-25	0.00	2.20
2006-04-26	0.00	1.79
2006-04-27	0.00	2.45
2006-04-28	0.00	3.30
2006-04-29	7.09	2.58
2006-04-30	0.00	2.64
2006-05-01	5.13	2.38
2006-05-02	0.00	2.87
2006-05-03	2.39	2.55
2006-05-04	1.33	2.32
2006-05-05	0.78	2.70
2006-05-06	0.14	3.07
2006-05-07	0.00	3.24
2006-05-08	3.52	2.19
2006-05-09	0.00	3.01
2006-05-10	0.00	3.93
2006-05-11	0.00	3.05
2006-05-12	0.33	3.18
2006-05-13	0.00	3.38
2006-05-14	0.00	5.24
2006-05-15	7.91	3.58
2006-05-16	3.01	3.21
2006-05-17	0.00	3.66
2006-05-18	6.09	2.57
2006-05-19	10.00	2.83
2006-05-20	3.72	2.73
2006-05-21	0.00	2.70
2006-05-22	0.86	2.32
2006-05-23	0.30	2.67
2006-05-24	4.41	4.50
2006-05-25	0.12	3.76
2006-05-26	0.00	2.97
2006-05-27	0.00	3.78
2006-05-28	0.00	4.01
2006-05-29	0.00	4.16
2006-05-30	0.00	4.85
2006-05-31	0.00	3.76
2006-06-01	0.00	4.43
2006-06-02	4.39	3.97
2006-06-03	4.24	3.86
2006-06-04	0.00	4.55
2006-06-05	4.53	2.49
2006-06-06	4.97	2.73
2006-06-07	4.77	3.73
2006-06-08	15.51	2.87
2006-06-09	3.81	2.48
2006-06-10	0.00	2.77
2006-06-11	2.11	3.54
2006-06-12	2.00	3.16
2006-06-13	0.00	3.28
2006-06-14	0.00	2.96
2006-06-15	0.00	3.59
2006-06-16	0.00	4.50
2006-06-17	0.00	5.82
2006-06-18	0.00	4.67
2006-06-19	3.92	1.89
2006-06-20	0.00	2.22
2006-06-21	0.00	2.00
2006-06-22	0.00	2.53
2006-06-23	0.00	4.67
2006-06-24	0.00	5.39
2006-06-25	0.00	6.86
2006-06-26	0.00	6.23
2006-06-27	0.00	4.09
2006-06-28	7.51	3.26
2006-06-29	9.54	3.72
2006-06-30	8.95	3.50
2006-07-01	8.16	3.49
2006-07-02	5.37	2.99
2006-07-03	0.00	2.96
2006-07-04	0.83	2.51
2006-07-05	0.00	3.88
2006-07-06	1.88	3.80
2006-07-07	0.00	3.34
2006-07-08	0.37	5.01
2006-07-09	0.13	4.70
2006-07-10	0.39	5.83
2006-07-11	0.00	6.69
2006-07-12	0.00	4.35
2006-07-13	0.00	4.04
2006-07-14	0.00	3.90
2006-07-15	0.00	2.57
2006-07-16	0.00	2.23
2006-07-17	0.00	2.25
2006-07-18	0.00	2.43
2006-07-19	0.00	4.10
2006-07-20	0.00	3.56
2006-07-21	0.00	2.45
2006-07-22	0.00	2.78
2006-07-23	0.00	2.97
2006-07-24	0.25	4.16
2006-07-25	2.60	4.46
2006-07-26	0.00	5.77
2006-07-27	0.00	7.30
2006-07-28	0.00	7.82
2006-07-29	0.00	6.36
2006-07-30	0.00	5.50
2006-07-31	0.00	4.72
2006-08-01	0.00	2.97
2006-08-02	5.60	3.54
2006-08-03	7.72	2.49
2006-08-04	0.00	4.07
2006-08-05	0.00	3.84
2006-08-06	0.77	2.80
2006-08-07	0.19	3.53
2006-08-08	0.00	3.69
2006-08-09	0.62	3.41
2006-08-10	2.38	3.05
2006-08-11	0.00	3.30
2006-08-12	0.00	3.39
2006-08-13	0.00	3.54
2006-08-14	2.38	4.03
2006-08-15	0.00	3.49
2006-08-16	0.00	3.57
