date;ETP
01/01/2023;2.5
02/01/2023;0.9
03/01/2023;0.7
04/01/2023;0.5
05/01/2023;0.8
06/01/2023;1.3
07/01/2023;0.8
08/01/2023;0.9
09/01/2023;1.1
10/01/2023;1.2
11/01/2023;1.4
12/01/2023;1.1
13/01/2023;1
14/01/2023;1.1
15/01/2023;1.4
16/01/2023;1.2
17/01/2023;0.7
18/01/2023;0.6
19/01/2023;0.3
20/01/2023;0.4
21/01/2023;0.7
22/01/2023;0.6
23/01/2023;0.7
24/01/2023;0.9
25/01/2023;0
26/01/2023;0.7
27/01/2023;1.2
28/01/2023;1.3
29/01/2023;1.5
30/01/2023;0.6
31/01/2023;1.1
01/02/2023;0.9
02/02/2023;1.3
03/02/2023;0.8
04/02/2023;0.6
05/02/2023;1.9
06/02/2023;1.4
07/02/2023;1.3
08/02/2023;1.7
09/02/2023;0.9
10/02/2023;1
11/02/2023;1.2
12/02/2023;1.3
13/02/2023;1.8
14/02/2023;1.5
15/02/2023;2.6
16/02/2023;1.3
17/02/2023;1.3
18/02/2023;1.4
19/02/2023;0.5
20/02/2023;1.2
21/02/2023;1.8
22/02/2023;0.9
23/02/2023;0.3
24/02/2023;1
25/02/2023;1.3
26/02/2023;2.9
27/02/2023;2.2
28/02/2023;1.9
01/03/2023;1.6
02/03/2023;1.3
03/03/2023;1.8
04/03/2023;1.4
05/03/2023;1.5
06/03/2023;1.4
07/03/2023;0.3
08/03/2023;1.6
09/03/2023;3
10/03/2023;2.4
11/03/2023;0.2
12/03/2023;0.9
13/03/2023;3.1
14/03/2023;2.1
15/03/2023;2.4
16/03/2023;3.7
17/03/2023;3.3
18/03/2023;2.3
19/03/2023;2.5
20/03/2023;2.4
21/03/2023;2.1
22/03/2023;1.5
23/03/2023;3.1
24/03/2023;2.7
25/03/2023;2.4
26/03/2023;2.1
27/03/2023;2.9
28/03/2023;3.6
29/03/2023;5.4
30/03/2023;3.4
31/03/2023;3.8
01/04/2023;3.2
02/04/2023;1.8
03/04/2023;3.2
04/04/2023;3.4
05/04/2023;3
06/04/2023;4
07/04/2023;3.2
08/04/2023;4.7
09/04/2023;4.6
10/04/2023;2.6
11/04/2023;3.4
12/04/2023;2.9
13/04/2023;2.1
14/04/2023;1.2
15/04/2023;3.7
16/04/2023;3.2
17/04/2023;3.7
18/04/2023;3.7
19/04/2023;4.2
20/04/2023;4.7
21/04/2023;4.3
22/04/2023;3.5
23/04/2023;2.6
24/04/2023;2.6
25/04/2023;1.7
26/04/2023;1.3
27/04/2023;3.5
28/04/2023;4
29/04/2023;2.4
30/04/2023;4.6
01/05/2023;3.5
02/05/2023;4.4
03/05/2023;7.1
04/05/2023;5.3
05/05/2023;4.9
06/05/2023;5
07/05/2023;4.2
08/05/2023;4.1
09/05/2023;2.7
10/05/2023;3.4
11/05/2023;3.3
12/05/2023;2.5
13/05/2023;2.5
14/05/2023;4.2
15/05/2023;3.8
16/05/2023;5.2
17/05/2023;5
18/05/2023;4.9
19/05/2023;4.9
20/05/2023;3.9
21/05/2023;2.2
