,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,pabs,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,wc,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof,prof
pid,B1,B2,B3,B4,FA1,FC1,FCH1,FCam1,FCam2,FCam3,FCav1am,FCav1rad,FCav2,FCav3,FJ1,FJ2,FMa1,FS1,FS2,FS3,FS4,FSJ1,LA1,LC1,LCH1,LJ1,LJ2,LSJa,LSJd,LSJe,PA1,PA2,PC1,PCH1,PCH2,PCav1,PJ1,PJ2,PJ3,PJ4,PJ5,PM1,PS1,PS2,PS3,PS4,B1,B2,B3,B4,FA1,FC1,FCH1,FCam1,FCam2,FCam3,FCav1am,FCav1rad,FCav2,FCav3,FJ1,FJ2,FMa1,FS1,FS2,FS3,FS4,FSJ1,LA1,LC1,LCH1,LJ1,LJ2,LSJa,LSJd,LSJe,PA1,PA2,PC1,PCH1,PCH2,PCav1,PJ1,PJ2,PJ3,PJ4,PJ5,PM1,PS1,PS2,PS3,PS4,B1,B2,B3,B4,FA1,FC1,FCH1,FCam1,FCam2,FCam3,FCav1am,FCav1rad,FCav2,FCav3,FJ1,FJ2,FMa1,FS1,FS2,FS3,FS4,FSJ1,LA1,LC1,LCH1,LJ1,LJ2,LSJa,LSJd,LSJe,PA1,PA2,PC1,PCH1,PCH2,PCav1,PJ1,PJ2,PJ3,PJ4,PJ5,PM1,PS1,PS2,PS3,PS4,B1,B2,B3,B4,FA1,FC1,FCH1,FCam1,FCam2,FCam3,FCav1am,FCav1rad,FCav2,FCav3,FJ1,FJ2,FMa1,FS1,FS2,FS3,FS4,FSJ1,LA1,LC1,LCH1,LJ1,LJ2,LSJa,LSJd,LSJe,PA1,PA2,PC1,PCH1,PCH2,PCav1,PJ1,PJ2,PJ3,PJ4,PJ5,PM1,PS1,PS2,PS3,PS4,B1,B2,B3,B4,FA1,FC1,FCH1,FCam1,FCam2,FCam3,FCav1am,FCav1rad,FCav2,FCav3,FJ1,FJ2,FMa1,FS1,FS2,FS3,FS4,FSJ1,LA1,LC1,LCH1,LJ1,LJ2,LSJa,LSJd,LSJe,PA1,PA2,PC1,PCH1,PCH2,PCav1,PJ1,PJ2,PJ3,PJ4,PJ5,PM1,PS1,PS2,PS3,PS4
2021-04-07 12:00:00,,,,,,,,,,,,,,,,,104279.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08 12:00:00,,,,,,,,,,,,,,,,,103735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09 12:00:00,,,,,,,,,,,,,,,,,103144.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10 12:00:00,,,,,,,,,,,,,,,,,102772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.48525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11 12:00:00,,,,,,,,,,,,,,,,,103496.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12 12:00:00,,,,,,,,,,,,,,,,,104653.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13 12:00:00,,,,,,,,,,,,,,,,,104341.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14 12:00:00,,,,,,,,,,,,,,,,,103994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15 12:00:00,,,,,,,,,,,,,,,,,103914.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
