,BattV_Avg,Rain_mm_Tot,WS_ms_Avg,WS_ms_Avg,WS_ms_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,RH,RH,RH,SlrW_Avg,ET0
,mean,sum,mean,min,max,mean,min,max,mean,min,max,mean,sum
date,,,,,,,,,,,,,
2022-07-12,12.799,0.0,0.6027625,0.118,1.489,26.434500000000003,17.24,35.5,52.34525,21.23,82.6,35.16947368421053,11.34
2022-07-13,13.016041666666666,0.0,1.0323416666666667,0.142,3.678,25.066166666666668,13.83,35.27,52.99933333333333,17.33,91.6,,
2022-07-14,13.136166666666666,0.0,0.7897041666666667,0.096,2.44,25.328500000000002,14.15,36.15,56.52975,22.46,90.6,,
2022-07-15,13.204583333333334,0.0,1.02835,0.227,2.964,24.265333333333334,14.24,33.05,54.15454166666667,23.82,93.1,,
2022-07-16,13.219333333333333,0.0,1.5986333333333331,0.532,3.791,26.051125000000003,18.51,33.69,40.885083333333334,25.04,61.79,,
2022-07-17,13.22225,0.0,1.8585625000000001,0.653,4.048,27.065166666666666,18.79,35.91,40.732958333333336,19.49,56.85,,
2022-07-18,13.181125,0.0,3.0750666666666664,0.708,7.382,29.766569037656904,19.84,39.85,42.984,17.27,92.8,,
2022-07-19,13.221708333333334,0.1,1.8863750000000001,0.271,3.866,23.328416666666666,19.11,27.51,68.98229166666667,42.76,92.9,,
2022-07-20,13.274916666666666,0.0,1.8146958333333332,0.14,4.738,21.148541666666667,15.02,24.83,77.73049999999999,53.92,96.5,,
2022-07-21,13.257541666666667,0.0,0.9209166666666667,0.128,2.776,21.109291666666664,13.42,29.41,72.55695833333333,41.18,97.8,,
2022-07-22,13.291833333333333,0.0,1.9553875,0.153,4.696,19.479,14.92,23.96,82.08520833333334,62.48,97.3,,
2022-07-23,13.264875,0.0,0.8347874999999999,0.125,2.793,20.388708333333334,12.37,28.59,73.51891666666667,46.82,98.4,,
