,h
1950-01-01,17.637025875094913
1950-01-02,17.636288539847314
1950-01-03,17.640597405406744
1950-01-04,17.640311503074415
1950-01-05,17.650463018093156
1950-01-06,17.64960032751344
1950-01-07,17.64816444870253
1950-01-08,17.646160728943038
1950-01-09,17.644111378915618
1950-01-10,17.64476103359934
1950-01-11,17.644532773214546
1950-01-12,17.64401602413167
1950-01-13,17.64437595023874
1950-01-14,17.64327942787397
1950-01-15,17.642483753127742
1950-01-16,17.669188389744892
1950-01-17,17.674095512613135
1950-01-18,17.670978027094947
1950-01-19,17.6699239516526
1950-01-20,17.668298473411646
1950-01-21,17.66785063185656
1950-01-22,17.66740696822284
1950-01-23,17.666967443534592
1950-01-24,17.66653201917952
1950-01-25,17.665810038762523
1950-01-26,17.66422293928384
1950-01-27,17.663231882168834
1950-01-28,17.66195945249923
1950-01-29,17.665738215541477
1950-01-30,17.664733022388884
1950-01-31,17.673527562203255
1950-02-01,17.67128722953305
1950-02-02,17.667744516883914
1950-02-03,17.67311886457504
1950-02-04,17.675309433687346
1950-02-05,17.69708894556478
1950-02-06,17.718828412776823
1950-02-07,17.750216256754506
1950-02-08,17.769294796125106
1950-02-09,17.78977708820373
1950-02-10,17.809422741347262
1950-02-11,17.8318579535549
1950-02-12,17.83318104083465
1950-02-13,17.86104849607913
1950-02-14,17.861129760735945
1950-02-15,17.859465393786262
1950-02-16,17.854327971398394
1950-02-17,17.847785385394886
1950-02-18,17.842466307857926
1950-02-19,17.838649942799563
1950-02-20,17.855448062858578
1950-02-21,17.861945340953778
1950-02-22,17.85649416495421
1950-02-23,17.855971193124226
1950-02-24,17.86114031084848
1950-02-25,17.902864399741752
1950-02-26,17.898710875012366
1950-02-27,17.896049189299912
1950-02-28,17.89260480307209
1950-03-01,17.887448840722897
1950-03-02,17.88379406914798
1950-03-03,17.87901092042619
1950-03-04,17.870494357919544
1950-03-05,17.86351033728234
1950-03-06,17.856010234404586
1950-03-07,17.84625515496797
1950-03-08,17.839206644118107
1950-03-09,17.832223888944036
1950-03-10,17.823562567151768
1950-03-11,17.81817884654893
1950-03-12,17.814589059623962
1950-03-13,17.811323380024387
1950-03-14,17.80518198457419
1950-03-15,17.803783427981983
1950-03-16,17.79564588436791
1950-03-17,17.796468266349144
1950-03-18,17.842642699207293
