,h
1950-01-01,20.73414767261176
1950-01-02,20.73297079423234
1950-01-03,20.73043075122826
1950-01-04,20.73061086263521
1950-01-05,20.730031025872364
1950-01-06,20.738525113492887
1950-01-07,20.744194384991452
1950-01-08,20.745540499463154
1950-01-09,20.74368009074974
1950-01-10,20.73981835139063
1950-01-11,20.735935904044478
1950-01-12,20.731822045763955
1950-01-13,20.72731690053011
1950-01-14,20.722849663503926
1950-01-15,20.71794803315018
1950-01-16,20.712768885561925
1950-01-17,20.745044363412124
1950-01-18,20.776629896436482
1950-01-19,20.79088495501108
1950-01-20,20.79679156363473
1950-01-21,20.797597729952596
1950-01-22,20.796201453659
1950-01-23,20.79347094130725
1950-01-24,20.789745756830378
1950-01-25,20.78528749505597
1950-01-26,20.78011551113171
1950-01-27,20.773956057489162
1950-01-28,20.767372330459278
1950-01-29,20.76047267583683
1950-01-30,20.756507844074655
1950-01-31,20.752168283405336
1950-02-01,20.75671029864485
1950-02-02,20.758390773115504
1950-02-03,20.755750841157663
1950-02-04,20.75794982421131
1950-02-05,20.76171556421361
1950-02-06,20.79520188267274
1950-02-07,20.842640940780207
1950-02-08,20.919494205376534
1950-02-09,20.972572923219786
1950-02-10,21.02194582695414
1950-02-11,21.064950613646662
1950-02-12,21.10276746530187
1950-02-13,21.115097581270405
1950-02-14,21.14911902150831
1950-02-15,21.162211409476395
1950-02-16,21.158719392950704
1950-02-17,21.14308366249943
1950-02-18,21.119668215170634
1950-02-19,21.09439845282695
1950-02-20,21.070193925668523
1950-02-21,21.07181859506142
1950-02-22,21.081323649327764
1950-02-23,21.0774804057474
1950-02-24,21.069909380381898
1950-02-25,21.067478546165106
1950-02-26,21.148858101285157
1950-02-27,21.189541386603842
1950-02-28,21.200590275877733
1950-03-01,21.197214224075232
1950-03-02,21.18275275908937
1950-03-03,21.1645131068629
1950-03-04,21.143664225719473
1950-03-05,21.118851218931738
1950-03-06,21.093413907151294
1950-03-07,21.068543366158107
1950-03-08,21.04430687985821
1950-03-09,21.02151655925435
1950-03-10,21.000215964594155
1950-03-11,20.98017074455067
1950-03-12,20.961444606293693
1950-03-13,20.943965310113025
1950-03-14,20.92757794583088
1950-03-15,20.91206772660316
1950-03-16,20.898618114159778
1950-03-17,20.885514572627134
1950-03-18,20.87527417133191
1950-03-19,21.022306601425505
1950-03-20,21.08595860964051
1950-03-21,21.117255703014745
1950-03-22,21.12980539845638
1950-03-23,21.12945430091011
1950-03-24,21.11273315529022
1950-03-25,21.090880065608566
1950-03-26,21.067500508694526
1950-03-27,21.042532823887207
1950-03-28,21.017880946652816
1950-03-29,20.995068907841265
1950-03-30,20.974888780748074
1950-03-31,20.956097621295452
1950-04-01,20.938270093934772
1950-04-02,20.921724854307122
1950-04-03,20.93802638350103
1950-04-04,20.945729761091087
1950-04-05,20.948034690399435
1950-04-06,20.943265629865206
1950-04-07,20.931744501010442
1950-04-08,20.916383398827726
1950-04-09,20.900570250579264
1950-04-10,20.88605435155642
1950-04-11,20.872350004893185
1950-04-12,20.860525785805514
1950-04-13,20.86677688561663
1950-04-14,20.868777370513875
1950-04-15,20.869191602310142
1950-04-16,20.86700377131284
1950-04-17,20.86058372321491
1950-04-18,20.96350533906294
1950-04-19,21.008326517256258
1950-04-20,21.035892780199287
1950-04-21,21.040599520184077
1950-04-22,21.024011849244868
1950-04-23,21.000532997841677
1950-04-24,20.981153652209542
1950-04-25,20.96954140304363
1950-04-26,20.962680009752617
1950-04-27,20.956238727662285
1950-04-28,20.945738295173246
1950-04-29,20.931256610535545
1950-04-30,20.914884133333857
1950-05-01,20.897965316947985
1950-05-02,20.88153875569049
1950-05-03,20.86621101406813
1950-05-04,20.851962903981647
1950-05-05,20.838627504495225
1950-05-06,20.826083778977452
1950-05-07,20.814274876341326
1950-05-08,20.803133204575047
1950-05-09,20.812478364601922
1950-05-10,20.82003452950612
1950-05-11,20.816542684249445
1950-05-12,20.8070418823609
1950-05-13,20.795349508478076
1950-05-14,20.786566875489964
1950-05-15,20.777277506999265
1950-05-16,20.767412443979474
1950-05-17,20.787137605706587
1950-05-18,20.79199324438268
1950-05-19,20.79309207769653
1950-05-20,20.78981646280594
1950-05-21,20.78824995651398
1950-05-22,20.780775351317153
1950-05-23,20.770496437226818
1950-05-24,20.761362041928884
1950-05-25,20.784202072881417
1950-05-26,20.78531340728647
1950-05-27,20.788152682569176
1950-05-28,20.792922950025567
1950-05-29,20.789293656569352
1950-05-30,20.780789403728757
1950-05-31,20.773476255238396
1950-06-01,20.76504581069882
1950-06-02,20.75546502435969
1950-06-03,20.745589971572894
1950-06-04,20.73580990169336
1950-06-05,20.726417962782197
1950-06-06,20.717611950223834
1950-06-07,20.709405718408007
1950-06-08,20.701704595312965
1950-06-09,20.694439666520896
1950-06-10,20.68756797688432
1950-06-11,20.681047663150068
1950-06-12,20.674863844482637
1950-06-13,20.668954990899444
1950-06-14,20.663297886385692
1950-06-15,20.657978984651155
1950-06-16,20.65317519545773
1950-06-17,20.64839099190632
1950-06-18,20.68686888360317
1950-06-19,20.703484753321135
1950-06-20,20.701779954415358
1950-06-21,20.69356947673592
1950-06-22,20.693250702482374
1950-06-23,20.68954789537938
1950-06-24,20.682978175871348
1950-06-25,20.67547128869373
1950-06-26,20.668068148175397
1950-06-27,20.660987983240993
